ds,yhat,yhat_lower,yhat_upper,fecha,afluencia,zscore_robusto,anomalia_mad,det_prophet,det_mad,prioridad_auditoria,linea,estacion,impacto_pasajeros,direccion_anomalia
2022-05-29,5915.663985420417,4449.82405440478,7470.614861750982,2022-05-29,6585,4.6187209716682345,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,669.0,Alza (Pico atípico)
2022-06-13,9189.863325306189,7728.852716031546,10710.52277538043,2022-06-13,9384,-344000000.0,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,194.0,Alza (Pico atípico)
2022-06-22,9169.118746378623,7590.333888477711,10679.095042910963,2022-06-22,9591,-5.291686562355527,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,422.0,Alza (Pico atípico)
2022-06-27,9056.990706982573,7437.897110639621,10565.469299926617,2022-06-27,9091,-504000000.0,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,34.0,Alza (Pico atípico)
2022-06-29,9118.296752195674,7630.79311381683,10668.471745983776,2022-06-29,9674,-4.304477365902179,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,556.0,Alza (Pico atípico)
2022-07-01,9032.046147068311,7557.215376836237,10591.710308389624,2022-07-01,9193,-4.805746641976505,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,161.0,Alza (Pico atípico)
2022-07-06,9096.97530177119,7619.440347427905,10620.8259082358,2022-07-06,9227,-7.0453625262416,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,130.0,Alza (Pico atípico)
2022-07-08,9015.554000264632,7539.304935826206,10522.526929199088,2022-07-08,8748,-5.387896402282764,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,-268.0,Baja (Caída atípica)
2022-07-09,7732.951571954897,6142.338196080929,9223.92941660151,2022-07-09,6416,-5.112836875855208,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,-1317.0,Baja (Caída atípica)
2022-07-10,5601.245333321132,4042.898631488491,7138.644086967167,2022-07-10,3688,-3.232643381748085,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-1913.0,Baja (Caída atípica)
2022-07-11,9013.131511380288,7503.262340946103,10542.706755765777,2022-07-11,0,-21.602120383474194,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-9013.0,Baja (Caída atípica)
2022-07-12,8956.497995999069,7396.677985063196,10534.01815075185,2022-07-12,0,-81.4159692973783,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8956.0,Baja (Caída atípica)
2022-07-13,9077.827364347748,7664.1694342867695,10492.473903445598,2022-07-13,0,-14.597368226690811,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-9078.0,Baja (Caída atípica)
2022-07-14,8907.100146570096,7345.666023094273,10509.531209322784,2022-07-14,0,-20.866495748760073,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8907.0,Baja (Caída atípica)
2022-07-15,8988.918320740087,7492.834697157159,10559.022556414327,2022-07-15,0,-40.5095936654494,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8989.0,Baja (Caída atípica)
2022-07-16,7701.336500141225,6142.178094909508,9175.098608752774,2022-07-16,0,-14.417914448639031,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-7701.0,Baja (Caída atípica)
2022-07-17,5563.9490451932215,4212.448227866915,7048.158836794911,2022-07-17,0,-5.0154711265097305,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-5564.0,Baja (Caída atípica)
2022-07-18,8969.571920714412,7382.77926091595,10520.93373307829,2022-07-18,0,-20.104247478169174,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8970.0,Baja (Caída atípica)
2022-07-19,8906.23258592365,7391.450149659561,10479.965415089071,2022-07-19,0,-12.826030615421924,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8906.0,Baja (Caída atípica)
2022-07-20,9020.56993571901,7409.230553900432,10642.111789323522,2022-07-20,0,-9.21515793151636,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-9021.0,Baja (Caída atípica)
2022-07-21,8842.733954091464,7373.8685552301,10336.419799222318,2022-07-21,0,-15.906297803592013,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8843.0,Baja (Caída atípica)
2022-07-22,8917.50515726116,7431.3476262849845,10352.471399088658,2022-07-22,0,-6.912590353629722,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8918.0,Baja (Caída atípica)
2022-07-23,7623.121391970662,6158.896396019293,9256.773771022956,2022-07-23,0,-14.367552472022028,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-7623.0,Baja (Caída atípica)
2022-07-24,5479.360334574447,3926.9696110017026,6946.347248703438,2022-07-24,0,-2.885211692593873,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-5479.0,Baja (Caída atípica)
2022-07-25,8879.216631797406,7507.376838735511,10583.960819701071,2022-07-25,0,-6.575705440400972,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8879.0,Baja (Caída atípica)
2022-07-26,8810.887095560303,7269.992869301632,10349.612229330563,2022-07-26,0,-9.970547935472567,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8811.0,Baja (Caída atípica)
2022-07-27,8921.166095819526,7230.211518603458,10406.748270139937,2022-07-27,0,-7.928058894704638,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8921.0,Baja (Caída atípica)
2022-07-28,8740.340935318247,7278.121188901543,10287.455929839067,2022-07-28,0,-8.710739724521856,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8740.0,Baja (Caída atípica)
2022-07-29,8813.307401010894,7236.558593054045,10361.845567859962,2022-07-29,0,-4.396754963439407,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8813.0,Baja (Caída atípica)
2022-07-30,7518.393165462169,5982.825005602239,9138.184742057687,2022-07-30,0,-2.704707944360959,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-7518.0,Baja (Caída atípica)
2022-07-31,5375.437480019882,3736.642813510998,6823.639403216428,2022-07-31,0,-2.3226161712260502,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-5375.0,Baja (Caída atípica)
2022-08-01,8777.466181587399,7368.62210397577,10355.786222172199,2022-08-01,0,0.0,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-8777.0,Baja (Caída atípica)
2022-08-02,8712.675489868345,7293.302972932334,10148.901623488491,2022-08-02,0,0.0,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-8713.0,Baja (Caída atípica)
2022-08-03,8827.8267843463,7363.196369119877,10282.238284532757,2022-08-03,0,0.0,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-8828.0,Baja (Caída atípica)
2022-08-04,8653.142170271265,7014.2052753178405,10189.707795930517,2022-08-04,0,0.0,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-8653.0,Baja (Caída atípica)
2022-08-05,8733.421032901342,7283.143721632375,10319.52188686008,2022-08-05,0,0.0,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-8733.0,Baja (Caída atípica)
2022-08-06,7446.865236773591,5883.121990243035,8852.581317486713,2022-08-06,0,0.0,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-7447.0,Baja (Caída atípica)
2022-08-07,5313.161374050792,3807.794054508024,6779.907137885154,2022-08-07,0,0.0,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-5313.0,Baja (Caída atípica)
2022-08-08,8725.159027090374,7204.312399089738,10190.011700735997,2022-08-08,0,0.0,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-8725.0,Baja (Caída atípica)
