ID_Auditoria,Fecha,Linea,Estacion,Direccion_Anomalia,Impacto_Pasajeros,Afluencia,Estatus_Investigacion,Hallazgo_Principal,Descripcion_Incidente,Link_Fuente_1,Link_Fuente_2,Observaciones
ANOM-114,2023-05-01 0:00:00,linea 3,la raza,Baja (Caída atípica),-5570,13032,Terminado,Falla Oculta (No hay reporte oficial del incidente),Se registro retrasos prologados en la Linea 3 ,https://www.tvazteca.com/aztecanoticias/que-pasa-metro-cdmx-hoy-lunes-1-mayo-2023-en-vivo,https://www.infobae.com/mexico/2023/05/01/metro-cdmx-hoy-noticias-retrasos-avances-y-fallas-en-las-lineas-este-1-de-mayo/,Este dia fue un dia feriado por eso la baja de afluencia ademas de que oficialmente si se registraron retrasos prolongados 
ANOM-145,2023-11-06 0:00:00,linea b,múzquiz,Baja (Caída atípica),-5623,19657,Terminado,Falla Oculta (No hay reporte oficial del incidente),Usarios registraron retrasos en el servicio de varias estaciones de la Linea B ,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-lunes-6-noviembre-2023,,
ANOM-231,2024-11-01 0:00:00,linea 2,colegio militar,Baja (Caída atípica),-5650,11826,Terminado,Falsa Alarma (Se investigó y fue ruido normal),no se reportaron incidentes ,,,
ANOM-9,2022-01-21 0:00:00,linea 2,san cosme,Baja (Caída atípica),-5696,10590,Terminado,Falsa Alarma (Se investigó y fue ruido normal),Sin datos suficientes,,,No se encontrarón causas para la baja de afluencia además de ser día domingo
ANOM-8,2022-01-16 0:00:00,linea 1,sevilla,Baja (Caída atípica),-5772,6756,Terminado,Falla Oculta (No hay reporte oficial del incidente),"Afluencia a la baja dado la noticia de ""cuarta ola de covid"" ",https://politica.expansion.mx/cdmx/2022/01/16/voces-la-cuarta-ola-de-covid-19-vacia-las-calles-de-la-cdmx,,"Un día antes el gobierno de la cdmx anunció ""la cuarta ola de covid"" por lo que como reacción de la sociedad, una vez pasado las fechas festivas, la afluencia bajó"
ANOM-299,2025-06-22 0:00:00,linea 1,isabel la católica,Baja (Caída atípica),-5873,5593,Terminado,"Incidente Externo (Persona en vías, riña, salud)",caida de paraguas a las vias y retiro del mismo para evitar fallas electricas,https://www.infobae.com/mexico/2025/06/22/metro-cdmx-anuncia-cierre-de-estacion-por-fuertes-lluvias-hoy-domingo-22-de-junio/,,"La afectación ocurre debido a que un paraguas cayó a la zona de vías de este medio de transporte, por lo que se realizaron las maniobras de rescate correspondientes para llevar a cabo el retiro del objeto y evitar un cortocircuito."
ANOM-60,2022-09-17 0:00:00,linea 1,tacubaya,Baja (Caída atípica),-5967,12091,Terminado,Clima Extremo (Inundaciones severas),La afluencia bajo dado la tormenta tropical y lluvias ,https://www.eluniversal.com.mx/metropoli/lester-afectara-asi-la-cdmx-este-sabado-17-de-septiembre-2022/,,La afluencia bajo dado la tormenta tropical mezclado con el cierre parcial de la linea 1
ANOM-176,2024-03-08 0:00:00,linea 8,san juan de letrán,Baja (Caída atípica),-5976,19404,Terminado,"Evento Masivo (Concierto, partido, manifestación)",Marcha del Día Internacional de la Mujer 8M,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-viernes-8-marzo-2024,,Cierre de estacion Zocalo y esta estacion cercana fue alternativa pero como fue bajada probablemente la gente prefirio otra estación aledaña 
ANOM-182,2024-03-28 0:00:00,linea 7,aquiles serdán,Baja (Caída atípica),-6012,7003,Terminado,Feriado No Oficial / Cultural,Jueves santo la estación tuvo horario festivo empezando a operar 2 horas mas tarde,https://www.publimetro.com.mx/noticias/2024/03/28/metro-cdmx-molesta-a-usuarios-horario-especial-en-jueves-santo/,,Com la estación por ser jueves santo empezó a operar 2 horas mas tarde perdió afluencia
ANOM-263,2025-01-15 0:00:00,linea b,ciudad azteca,Baja (Caída atípica),-6140,35789,Terminado,"Falla Mecánica (Tren averiado, puertas, desalojo)","se realizó el retiro de un tren para revisión, pero continuará ofreciendo servicio de manera normal.",https://www.adn40.mx/ciudad/2025-01-15/metro-cdmx-reportan-caos-en-la-linea-a-y-humo-en-esta-linea-del-stc/,,
