ID_Auditoria,Fecha,Linea,Estacion,Direccion_Anomalia,Impacto_Pasajeros,Afluencia,Estatus_Investigacion,Hallazgo_Principal,Descripcion_Incidente,Link_Fuente_1,Link_Fuente_2,Observaciones
ANOM-339,2025-12-07 0:00:00,linea 9,pantitlán,Baja (Caída atípica),-11630,25665,Terminado,"Falla Mecánica (Tren averiado, puertas, desalojo)",retrasos en la linea A que no pasaban trenes hacia pantitlan,https://www.tvazteca.com/aztecanoticias/metro-cdmx-hoy-7-diciembre-2025-retrasos-y-avance-trenes-linea-a-linea-1-linea-7-linea-9-linea-1-que-paso,,
ANOM-187,2024-03-29 0:00:00,linea a,santa marta,Baja (Caída atípica),-12809,17198,Terminado,Feriado No Oficial / Cultural,Viernes santo,,,
ANOM-337,2025-11-25 0:00:00,linea 2,hidalgo,Baja (Caída atípica),-13696,13231,Terminado,"Evento Masivo (Concierto, partido, manifestación)","cierres en la estación Zócalo- Tenochtitlán de la Línea 2, esto sería debido a la Marcha del 25N que tiene el objetivo de hacer consciencia respecto a la eliminación de la violencia contra la mjer.","https://www.tvazteca.com/aztecanoticias/metro-cdmx-que-pasa-lineas-y-estaciones-hoy-25-noviembre-2025#:~:text=%F0%9F%9F%A2%20Inicio%20de%20operaciones%20HOY,Observatorio%20y%20Salto%20del%20Agua.",,
ANOM-157,2023-12-24 0:00:00,linea 12,periférico oriente,Baja (Caída atípica),-13995,19559,Terminado,"Cierre Programado (Mantenimiento, remodelación)",Linea 12 parcialmente cerrada ,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-domingo-24-diciembre-2023,,La linea 12 llegaba hasta la estacion periferico oriente 
ANOM-293,2025-05-15 0:00:00,linea 3,copilco,Baja (Caída atípica),-13997,25147,Terminado,"Falla Mecánica (Tren averiado, puertas, desalojo)","experimentó una jornada de servicio lento y retrasos generalizados, usuarios reportan trenes casi parados.",https://www.nmas.com.mx/ciudad-de-mexico/que-paso-linea-3-metro-cdmx-hoy-15-de-mayo-2025-reportan-avance-tiempo-real/,,
ANOM-137,2023-10-04 0:00:00,linea 2,pino suárez,Baja (Caída atípica),-14152,17360,Terminado,"Incidente Externo (Persona en vías, riña, salud)","Se registraron varios incidentes, una mujer da a luz a su bebe en las escaleras del Metro Hidalgo",https://www.infobae.com/mexico/2023/10/04/metro-y-metrobus-cdmx-hoy-noticias-retrasos-avances-y-fallas-en-las-lineas-este-4-de-octubre/,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-miercoles-4-octubre-2023,"Se registraron varios incidentes ese día uno de ellos una mujer dio a luz a su bebe en una estacion, otra fue el desalojo en la estación Bellas Artes"
ANOM-234,2024-11-02 0:00:00,linea 12,tláhuac,Baja (Caída atípica),-14528,31727,Terminado,Falla Oculta (No hay reporte oficial del incidente),posible afluencia normal por el dia de muertos,,,
ANOM-368,2026-03-17 0:00:00,linea 2,san antonio abad,Baja (Caída atípica),-14916,0,Terminado,"Cierre Programado (Mantenimiento, remodelación)",se anunció el cierre de esta estación,https://www.jornada.com.mx/noticia/2026/03/14/capital/metro-cdmx-anuncia-cierre-de-la-estacion-san-antonio-abad-de-la-l2,https://www.reporteindigo.com/ultimas-noticias-metro-cdmx-hoy-martes-17-de-marzo-2026-retrasos-afluencia-y-lineas-sin-servicio-lb202603170001.html,
ANOM-154,2023-12-18 0:00:00,linea 3,coyoacán,Baja (Caída atípica),-15205,7494,Terminado,"Evento Masivo (Concierto, partido, manifestación)",Manifestaciones en la alcaldia Coyoacán,https://www.telediario.mx/comunidad/marchas-manifestaciones-cdmx-18-diciembre-2023,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-este-lunes-18-diciembre-2023,
ANOM-146,2023-11-10 0:00:00,linea 1,observatorio,Baja (Caída atípica),-15508,0,Terminado,"Cierre Programado (Mantenimiento, remodelación)",Cierre programado de un tramo de la Linea 1 ,https://www.nmas.com.mx/ciudad-de-mexico/estaciones-abiertas-cerradas-linea-1-metro-cdmx-2023-2024/,,Cierre programado de la Linea desde la estacion Observatorio-Balderas
ANOM-124,2023-07-29 0:00:00,linea 9,puebla,Baja (Caída atípica),-15568,21443,Terminado,"Evento Masivo (Concierto, partido, manifestación)",Evento en el Pabellon Oeste Palacio de los Deportes ,https://www.tvazteca.com/aztecanoticias/marchas-hoy-manifestaciones-en-cdmx-este-29-julio-2023,https://www.indierocks.mx/agenda/human-tetris-se-presentara-en-el-pabellon-oeste/,Concierto en el Pabellon Oeste del Palacio de los Deportes evento cerca de la estación
ANOM-168,2024-01-22 0:00:00,linea 7,barranca del muerto,Baja (Caída atípica),-15993,16184,Terminado,"Falla Técnica / Eléctrica (Cortocircuito, energía)",Explosión en vagon del metro,https://lasillarota.com/metropoli/2023/1/23/metro-cdmx-asi-fue-la-explosion-en-barranca-del-muerto-linea-411104.html,,Usuario escucharon una explosión posteriormente comenzo a salir humo
ANOM-294,2025-05-17 0:00:00,linea 12,tláhuac,Baja (Caída atípica),-16006,32708,Terminado,"Evento Masivo (Concierto, partido, manifestación)","Las autoridades capitalinas esperan 2 marcha, 8 concentraciones, 1 rodada motociclista, 6 rodadas ciclistas y 33 eventos de esparcimiento durante la jornada de este sábado en la capital del país.",https://www.nmas.com.mx/ciudad-de-mexico/marchas-hoy-sabado-17-de-mayo-de-2025-en-cdmx-manifestaciones-y-concentraciones/,,
ANOM-246,2024-11-24 0:00:00,linea 12,tláhuac,Baja (Caída atípica),-16210,23891,Terminado,"Incidente Externo (Persona en vías, riña, salud)",una persona se lanzó a las vías del tren por lo que fue necesario activar los protocolos de rescate,https://heraldodemexico.com.mx/nacional/2024/11/24/metro-cdmx-que-pasa-en-la-linea-12-hoy-domingo-24-de-noviembre-2024-656473.html,,
ANOM-184,2024-03-29 0:00:00,linea 2,hidalgo,Baja (Caída atípica),-17270,15271,Terminado,Feriado No Oficial / Cultural,Viernes santo,https://mexico.as.com/actualidad/semana-santa-2024-jueves-y-viernes-santo-son-dias-festivos-o-de-descanso-obligatorio-en-mexico-n/,,Viernes santo diversos eventos religiosos combinado con vacaciones explican la baja afluencia de personas en la estación
ANOM-204,2024-05-10 0:00:00,linea 8,constitución de 1917,Baja (Caída atípica),-18813,91577,Terminado,Feriado No Oficial / Cultural,se reportaron algunos retrasos en el servicio por el festejo del día de las madres,,,
ANOM-30,2022-04-15 0:00:00,linea 3,copilco,Baja (Caída atípica),-19303,9803,Terminado,Feriado No Oficial / Cultural,Viernes santo,https://mexico.as.com/actualidad/semana-santa-2022-viernes-santo-en-vivo-viacrucis-en-iztapalapa-y-otros-sitios-n/,https://www.infobae.com/fotos/2022/04/16/dolor-pasion-y-calor-las-fotos-del-viacrucis-de-semana-santa-2022-en-iztapalapa/,Celebración de viernes santo
ANOM-142,2023-11-01 0:00:00,linea 3,copilco,Baja (Caída atípica),-20371,20688,Terminado,"Falla Mecánica (Tren averiado, puertas, desalojo)",Retiro de tren debido a fallas mecanicas,https://www.adn40.mx/ciudad/metro-cdmx-hoy-1-noviembre-2023-saturadas-las-lineas-b-3-8/,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-miercoles-1-noviembre-2023,"Se registraron largas esperas y los convoys tienen un avance lento en plena hora pico, debido a fallas en un tren "
ANOM-86,2023-01-14 0:00:00,linea 2,bellas artes,Baja (Caída atípica),-20407,4000,Terminado,"Evento Masivo (Concierto, partido, manifestación)","Manifestación de mujeres en la estación quienes dejaron entrar libremente a la estación, por lo que los registros de ingreso fue tan bajo",https://www.elfinanciero.com.mx/cdmx/2023/01/14/colectiva-de-mujeres-protesta-por-presencia-de-guardia-nacional-en-metro-de-cdmx/,,
ANOM-241,2024-11-15 0:00:00,linea 2,zócalo/tenochtitlan,Baja (Caída atípica),-23989,12562,Terminado,"Evento Masivo (Concierto, partido, manifestación)",cierre de estación por marchas ,https://x.com/MetroCDMX/status/1857507859787035009?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1857507859787035009%7Ctwgr%5Ea40bd18b510f01784e2eae50928c17f6816761dd%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.adn40.mx%2Fciudad%2F2024-11-15%2Fcierran-estacion-zocalo-metro-cdmx-hoy-15-noviembre-alternativas%2F,,"permaneció cerrada, junto con Allende, debido a diversas movilizaciones y marchas programadas en el Centro Histórico"
ANOM-156,2023-12-19 0:00:00,linea 9,pantitlán,Baja (Caída atípica),-24688,0,Terminado,"Cierre Programado (Mantenimiento, remodelación)",Cierre de algunas estaciones Linea 9,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-martes-19-diciembre-2023,,"Cierre de estaciones: Pantitlan, Puebla y Ciudad Deportiva"
ANOM-68,2022-11-02 0:00:00,linea 3,copilco,Baja (Caída atípica),-24986,14096,Terminado,Feriado No Oficial / Cultural,Suspensión de clases en la unam y cambio de evento cercano a otra sede,https://mexico.as.com/actualidad/unam-calendario-escolar-2022-2023-cuando-inician-clases-y-dias-festivos-n/,https://www.dgcs.unam.mx/boletin/bdboletin/2022_902bis.html,La unam suspendió clases este día por lo que estudiantes que usan la estación no asistieron además del cambio de sede de un evento de día de muertos lo que movio la afluencia a otro lado de la ciudad
ANOM-245,2024-11-18 0:00:00,linea 2,zócalo/tenochtitlan,Baja (Caída atípica),-25170,2244,Terminado,Feriado No Oficial / Cultural,El cierre se debió al puente vacacional por la conmemoración del 20 de noviembre (Día de la Revolución Mexicana).,,,
ANOM-336,2025-11-25 0:00:00,linea 2,pino suárez,Baja (Caída atípica),-26188,6035,Terminado,"Evento Masivo (Concierto, partido, manifestación)","cierres en la estación Zócalo- Tenochtitlán de la Línea 2, esto sería debido a la Marcha del 25N que tiene el objetivo de hacer consciencia respecto a la eliminación de la violencia contra la mjer.","https://www.tvazteca.com/aztecanoticias/metro-cdmx-que-pasa-lineas-y-estaciones-hoy-25-noviembre-2025#:~:text=%F0%9F%9F%A2%20Inicio%20de%20operaciones%20HOY,Observatorio%20y%20Salto%20del%20Agua.",,
ANOM-190,2024-03-29 0:00:00,linea b,buenavista,Baja (Caída atípica),-28037,25391,Terminado,Efecto Sustitución (Falla en Metrobús u otra línea o estación),"Buenavista, los usuarios reportan tiempos de espera de 10 minutos en la estación San Lázaro (que conecta con el Metrobús).",https://www.milenio.com/politica/comunidad/metro-metrobus-cdmx-hoy-29-marzo-2024-ultimas-noticias-en-vivo-atm,,toda la linea b presentó fallas en esa fecha por reparaciones 
